Date,RIC,Earnings Per Share - Mean
2026-03-13,HAS.OQ,5.70713
2026-03-13,BMBL.OQ,0.9517
2026-03-16,ZVRA.OQ,0.48611
2026-03-16,SMPL.OQ,1.93538
2026-03-16,GWW.N,43.59858
2026-03-16,BMBL.OQ,0.9837
2026-03-16,QCOM.OQ,11.13403
2026-03-16,HOG.N,0.39643
2026-03-17,CTRN.OQ,1.07
2026-03-17,GWW.N,43.61794
2026-03-17,SSNC.OQ,6.8411
2026-03-17,PFE.N,2.95835
2026-03-18,RKLB.OQ,-0.257
2026-03-18,BMBL.OQ,0.99633
2026-03-19,BC.N,4.23765
2026-03-19,HAS.OQ,5.70525
2026-03-22,BEPC.N,-1.04
2026-03-22,ARMK.N,2.21423
2026-03-22,HOG.N,0.388
2026-03-23,TMO.N,24.55746
2026-03-23,DTM.N,4.76777
2026-03-23,PFE.N,2.95919
2026-03-23,HAS.OQ,5.72213
2026-03-24,GWW.N,43.61183
2026-03-24,HAS.OQ,5.72588
2026-03-24,RL.N,16.27467
2026-03-25,RTX.N,6.83367
2026-03-25,KALV.OQ,-1.79
2025-11-06,BBSI.OQ,2.1075
2025-11-13,HSTM.OQ,0.762
2025-11-18,ALTG.N,-1.27333
2025-11-18,ALTG.N,-2.45333
2025-11-19,SWKH.OQ,2.1
2025-11-19,SWKH.OQ,2.16
2025-11-20,OPK.OQ,-0.32714
2025-12-11,IART.OQ,2.20027
2025-12-24,ABM.N,3.99429
2025-12-29,OLED.OQ,4.96013
2026-01-02,VIRC.OQ,0.71
2026-01-05,EEX.N,0.06
2026-01-06,HSTM.OQ,0.634
2026-01-08,UFPI.OQ,5.364
2026-01-12,CCC.OQ,0.35736
2026-01-12,PL.N,-0.05633
2026-01-13,PL.N,-0.11843
2026-01-13,VIA.N,-1.43889
2026-01-14,HE.N,0.93667
2026-01-14,ATMU.N,2.632
2026-01-16,WABC.OQ,4.255
2026-01-21,INGN.OQ,-0.95
2026-01-23,ORI.N,3.3
2026-01-25,AMAL.OQ,4.13
2026-01-26,HE.N,0.97667
2026-01-27,BBSI.OQ,2.375
2026-02-02,AMSF.OQ,2.275
2026-02-02,HALO.OQ,6.554
2026-02-02,AMSF.OQ,2.2755
2026-02-02,ORRF.OQ,4.2175
2026-02-03,YEXT.N,0.60667
2026-02-03,CPB.OQ,2.43095
2026-02-03,UAL.OQ,13.38643
2026-02-03,YEXT.N,0.53
2026-02-04,ATKR.N,5.24333
2026-02-04,BLK.N,54.47913
2026-02-04,WM.N,8.20668
2026-02-05,VLY.OQ,1.26623
2026-02-06,PVLA.OQ,-3.50875
2026-02-06,MMS.N,8.515
2026-02-06,ADM.N,3.96389
2026-02-09,FLEX.OQ,3.246
2026-02-09,ASGN.N,5.03143
2026-02-10,MTW.N,0.7
2026-02-10,WHR.N,6.48778
2026-02-10,CMI.N,26.22239
2026-02-10,SYBT.OQ,4.7512
2026-02-10,INBK.OQ,2.2225
2026-02-11,SNA.N,19.96
2026-02-11,ACRE.N,0.24167
2026-02-12,CEG.OQ,9.38394
2026-02-12,ATEX.OQ,4.5
2026-02-12,RIVN.OQ,-2.44956
2026-02-12,WING.OQ,3.9207
2026-02-12,FTI.N,2.26568
2026-02-13,OLED.OQ,4.95763
2026-02-13,ATMU.N,2.8398
2026-02-13,WM.N,8.20588
2026-02-13,RIVN.OQ,-2.47224
2026-02-16,WING.OQ,3.91589
2026-02-17,HALO.OQ,8.16667
2026-02-17,ATMU.N,2.8658
2026-02-17,RIVN.OQ,-2.47635
2026-02-17,ACRE.N,0.198
2026-02-18,CEG.OQ,9.36512
2026-02-18,HALO.OQ,8.03333
2026-02-18,ATEX.OQ,5.22
2026-02-18,ATMU.N,2.9468
2026-02-18,WING.OQ,4.69048
2026-02-18,ADM.N,3.9373
2026-02-19,UAL.OQ,13.36976
2026-02-19,OLED.OQ,5.29944
2026-02-19,RIVN.OQ,-2.49253
2026-02-19,WING.OQ,4.68186
2026-02-19,FTI.N,2.82771
2026-02-20,CEG.OQ,9.36206
2026-02-20,CMI.N,26.18739
2026-02-20,OLED.OQ,5.05422
2026-02-20,WM.N,8.19908
2026-02-20,WING.OQ,4.68359
2026-02-20,FTI.N,2.89419
2026-02-20,OPK.OQ,-0.32857
2026-02-22,CMI.N,26.17595
2026-02-22,RIVN.OQ,-2.4805
2026-02-23,UFPI.OQ,5.778
2026-02-23,CEG.OQ,9.35706
2026-02-23,WHR.N,6.59375
2026-02-23,OLED.OQ,4.97367
2026-02-23,BLK.N,54.426
2026-02-23,FTI.N,2.89229
2026-02-24,HSTM.OQ,0.76
2026-02-24,PVLA.OQ,-3.51813
2026-02-24,UFPI.OQ,5.648
2026-02-24,CEG.OQ,11.4967
2026-02-24,HALO.OQ,8.016
2026-02-24,INGN.OQ,-0.79
2026-02-24,ATEX.OQ,4.58
2026-02-24,CCC.OQ,0.42386
2026-02-25,HSTM.OQ,0.75
2026-02-25,UFPI.OQ,5.548
2026-02-25,CEG.OQ,11.4912
2026-02-25,WHR.N,6.49375
2026-02-25,INGN.OQ,-0.8415
2026-02-25,ORRF.OQ,4.24
2026-02-25,CCC.OQ,0.42257
2026-02-25,WING.OQ,4.67592
2026-02-26,UFPI.OQ,5.456
2026-02-26,CEG.OQ,11.5122
2026-02-26,OLED.OQ,4.81614
2026-02-26,AMSF.OQ,2.176
2026-02-26,BBSI.OQ,2.1525
2026-02-26,IART.OQ,2.35373
2026-02-26,RIVN.OQ,-2.51106
2026-02-26,FTI.N,2.93056
2026-02-26,OPK.OQ,-0.27286
2026-02-27,ALTG.N,-1.17333
2026-02-27,BBSI.OQ,1.8625
2026-02-27,IART.OQ,2.344
2026-02-27,SNA.N,20.083
2026-02-27,VIA.N,0.03
2026-02-27,OPK.OQ,-0.27143
2026-02-28,ACRE.N,0.198
2026-03-01,IART.OQ,2.33946
2026-03-02,HSTM.OQ,0.7425
2026-03-02,WHR.N,6.36875
2026-03-02,HE.N,1.05667
2026-03-02,VIA.N,0.01
2026-03-02,OPK.OQ,-0.27857
2026-03-03,CPB.OQ,2.42884
2026-03-03,WHR.N,6.15125
2026-03-03,CCC.OQ,0.423
2026-03-03,RIVN.OQ,-2.48822
2026-03-03,FTI.N,2.93053
2026-03-04,CMI.N,26.17753
2026-03-04,ALTG.N,-1.30333
2026-03-04,WM.N,8.20565
2026-03-04,RIVN.OQ,-2.48822
2026-03-04,FTI.N,2.94082
2026-03-05,CPB.OQ,2.42516
2026-03-05,ALTG.N,-1.375
2026-03-05,IART.OQ,2.34711
2026-03-05,WING.OQ,4.67904
2026-03-06,HSTM.OQ,0.738
2026-03-06,CPB.OQ,2.42253
2026-03-06,UAL.OQ,13.14982
2026-03-06,BLK.N,54.2885
2026-03-06,HE.N,1.085
2026-03-08,CMI.N,26.06465
2026-03-09,CPB.OQ,2.42095
2026-03-09,UAL.OQ,13.00664
2026-03-09,ALTG.N,-1.3
2026-03-10,CPB.OQ,2.41832
2026-03-10,UFPI.OQ,5.3302
2026-03-10,UAL.OQ,12.87664
2026-03-10,CCC.OQ,0.42354
2026-03-10,YEXT.N,0.58667
2026-03-10,ADM.N,3.95664
2026-03-10,ABM.N,3.96143
2026-03-11,CPB.OQ,2.34626
2026-03-11,FLEX.OQ,3.24546
2026-03-11,CEG.OQ,11.47411
2026-03-11,YEXT.N,0.565
2026-03-11,ABM.N,3.96
2026-03-12,CPB.OQ,2.25153
2026-03-12,UAL.OQ,12.547
2026-03-12,WHR.N,6.05
2026-03-12,VIA.N,-0.00125
2026-03-12,ADM.N,4.07391
2026-03-13,CPB.OQ,2.23468
2026-03-13,ORRF.OQ,4.2225
2026-03-13,AMAL.OQ,4.08
2026-03-13,IART.OQ,2.3464
2026-03-13,WM.N,8.20804
2026-03-13,EEX.N,0.185
2026-03-13,ADM.N,4.07608
2026-03-16,HSTM.OQ,0.732
2026-03-16,CPB.OQ,2.23468
2026-03-16,UAL.OQ,11.97014
2026-03-16,CEG.OQ,11.48906
2026-03-16,YEXT.N,0.54667
2026-03-16,WING.OQ,4.67907
2026-03-16,EEX.N,0.17
2026-03-16,ADM.N,4.09025
2026-03-17,UAL.OQ,12.03605
2026-03-17,ATKR.N,5.262
2026-03-17,HE.N,1.07667
2026-03-17,WING.OQ,4.68237
2026-03-18,CPB.OQ,2.2205
2026-03-18,UAL.OQ,12.13514
2026-03-18,CEG.OQ,11.32021
2026-03-19,CEG.OQ,11.32021
2026-03-19,RIVN.OQ,-2.50989
2026-03-19,WING.OQ,4.68163
2026-03-20,CPB.OQ,2.21995
2026-03-20,UAL.OQ,12.05514
2026-03-20,PL.N,-0.06017
2026-03-20,YEXT.N,0.57333
2026-03-23,UAL.OQ,12.05241
2026-03-23,IART.OQ,2.34822
2026-03-23,FTI.N,2.94139
2026-03-24,CEG.OQ,11.46758
2026-03-24,ADM.N,4.13442
2026-03-25,CEG.OQ,11.5652
2025-08-15,VUZI.OQ,-0.4
2025-11-05,BCO.N,7.95667
2025-11-06,KRT.OQ,1.61
2025-11-09,FNKO.OQ,-0.74667
2025-11-10,PMTS.OQ,1.1875
2025-11-14,VUZI.OQ,-0.36
2025-11-17,CERS.OQ,-0.08
2025-11-18,SION.OQ,-2.0425
2025-11-25,ACU.A,2.175
2025-11-25,ACU.A,2.445
2025-11-29,CERS.OQ,-0.04
2025-12-11,XZO.N,0.891
2025-12-11,DAKT.OQ,1.07
2025-12-30,SERV.OQ,-1.67571
2026-01-05,IRWD.OQ,0.255
2026-01-05,KRT.OQ,1.525
2026-01-12,SLP.OQ,0.54
2026-01-12,VYX.N,0.87857
2026-01-15,ASIC.N,1.4426
2026-01-26,MCS.N,0.297
2026-02-02,HROW.OQ,0.06
2026-02-02,KNTK.N,0.81346
2026-02-02,PLD.N,3.41643
2026-02-02,HROW.OQ,1.3575
2026-02-02,KNTK.N,1.50308
2026-02-03,RKT.N,0.24167
2026-02-04,PANL.OQ,1.12467
2026-02-04,COF.N,20.3565
2026-02-04,PANL.OQ,0.35133
2026-02-04,EGAN.OQ,0.35667
2026-02-05,CACI.N,28.77323
2026-02-05,CAR.OQ,8.34833
2026-02-05,RM.N,5.498
2026-02-05,VMC.N,8.407
2026-02-06,NTCT.OQ,2.41333
2026-02-06,SLGN.N,3.80464
2026-02-06,AOSL.OQ,-0.62667
2026-02-08,IR.N,3.55907
2026-02-08,CAR.OQ,4.468
2026-02-09,Q.N,2.54588
2026-02-09,LEA.N,14.50208
2026-02-09,CSL.N,20.8275
2026-02-09,GPOR.N,21.4865
2026-02-10,SSD.N,8.8825
2026-02-10,MTD.N,46.4712
2026-02-12,CAKE.OQ,3.75546
2026-02-12,XP.OQ,2.03786625731555
2026-02-12,FLNG.N,1.61
2026-02-12,CVRX.OQ,-1.96857
2026-02-12,NBIX.OQ,6.2854
2026-02-12,PSN.N,3.33054
2026-02-12,CDNA.OQ,0.70057
2026-02-12,AMD.OQ,6.65158
2026-02-12,CLX.N,5.90194
2026-02-12,EVRG.OQ,3.97308
2026-02-12,IRDM.OQ,1.10244
2026-02-12,NVCT.OQ,-1.2475
2026-02-13,IR.N,3.5386
2026-02-13,XP.OQ,2.04201682282386
2026-02-13,CVRX.OQ,-1.96571
2026-02-13,NBIX.OQ,6.0304
2026-02-13,AMD.OQ,6.65276
2026-02-13,CLX.N,5.92061
2026-02-13,EVRG.OQ,3.97692
2026-02-13,IRDM.OQ,1.11578
2026-02-15,CVRX.OQ,-2.00857
2026-02-15,PSN.N,3.31515
2026-02-16,IR.N,3.53393
2026-02-17,MCS.N,0.27625
2026-02-17,FLNG.N,1.57
2026-02-17,VMC.N,9.725
2026-02-17,IRDM.OQ,1.10411
2026-02-18,IR.N,3.5426
2026-02-18,CAKE.OQ,4.01277
2026-02-18,COF.N,20.33774
2026-02-18,NBIX.OQ,5.96767
2026-02-18,VMC.N,9.67496
2026-02-18,PSN.N,3.2878
2026-02-18,AMD.OQ,6.65841
2026-02-18,MTD.N,46.4872
2026-02-19,IR.N,3.55069
2026-02-19,CAKE.OQ,4.02186
2026-02-19,XP.OQ,2.05085022263166
2026-02-19,FLNG.N,1.618
2026-02-19,Q.N,2.55463
2026-02-19,LEA.N,14.50208
2026-02-19,VMC.N,9.60552
2026-02-19,PSN.N,3.2828
2026-02-19,EVRG.OQ,4.29254
2026-02-19,IRDM.OQ,1.11386
2026-02-19,ASIC.N,1.86
2026-02-20,IR.N,3.54146
2026-02-20,CAKE.OQ,4.03277
2026-02-20,CAR.OQ,5.47
2026-02-20,VMC.N,9.58248
2026-02-20,PSN.N,3.29982
2026-02-20,EVRG.OQ,4.291
2026-02-22,VMC.N,9.55561
2026-02-23,NBIX.OQ,5.99042
2026-02-23,EVRG.OQ,4.26539
2026-02-23,ASIC.N,1.885
2026-02-24,COF.N,20.33763
2026-02-24,Q.N,2.56213
2026-02-24,VMC.N,9.43112
2026-02-24,CDNA.OQ,0.85614
2026-02-24,AMD.OQ,6.63969
2026-02-24,ASIC.N,1.895
2026-02-24,SION.OQ,-2.037
2026-02-24,GPOR.N,23.76954
2026-02-25,CAKE.OQ,4.03532
2026-02-25,XZO.N,0.98567
2026-02-25,CAR.OQ,4.76833
2026-02-25,IRWD.OQ,1.105
2026-02-25,CDNA.OQ,0.70043
2026-02-25,AMD.OQ,6.65493
2026-02-25,GPOR.N,23.58185
2026-02-26,RKT.N,0.82
