Date,RIC,Earnings Per Share - Mean
2019-04-10,INVX.N,-0.02982
2019-04-15,INVX.N,-0.014
2019-04-22,INVX.N,-0.004
2019-04-26,INVX.N,0.046
2019-04-29,INVX.N,0.041
2019-04-30,INVX.N,0.0608
2019-05-01,GLDD.OQ,0.6
2019-05-03,AGM.N,8.36
2019-05-14,INVX.N,0.0988
2019-05-23,INVX.N,0.10533
2019-06-03,INVX.N,0.10533
2019-06-04,INVX.N,0.111
2019-06-14,AGM.N,8.38
2019-07-09,INVX.N,0.106
2019-07-11,INVX.N,0.10725
2019-07-16,INVX.N,0.11475
2019-07-17,INVX.N,0.11311
2019-07-18,INVX.N,0.11475
2019-07-25,INVX.N,0.121
2019-07-26,INVX.N,0.12263
2019-07-29,INVX.N,0.16678
2019-08-01,GLDD.OQ,0.72
2019-08-01,INVX.N,0.19638
2019-08-02,AGM.N,8.57
2019-08-06,INVX.N,0.20456
2019-08-12,INVX.N,0.1991
2019-08-20,INVX.N,0.2141
2019-08-21,GLDD.OQ,0.73
2019-08-30,INVX.N,0.2111
2019-09-03,INVX.N,0.20464
2019-09-12,INVX.N,0.20591
2019-09-19,INVX.N,0.21136
2019-10-10,INVX.N,0.22046
2019-10-14,INVX.N,0.22391
2019-10-25,INVX.N,0.244
2019-10-28,INVX.N,0.1125
2019-10-29,INVX.N,0.08
2019-10-31,INVX.N,0.04167
2019-11-06,GLDD.OQ,0.85
2019-11-06,AGM.N,8.505
2019-11-06,GLDD.OQ,0.785
2019-11-06,INVX.N,0.03571
2019-11-21,INVX.N,0.035
2019-12-10,GLDD.OQ,0.78
2020-01-02,GLDD.OQ,0.785
2020-01-14,INVX.N,0.02375
2020-01-14,INVX.N,1.10857
2020-01-28,AGM.N,8.5
2020-01-30,INVX.N,-0.005
2020-02-18,AGM.N,8.48
2020-02-18,AGM.N,9.05
2020-02-20,GLDD.OQ,0.89
2020-02-26,AGM.N,9.17
2020-02-28,INVX.N,1.03457
2020-03-02,INVX.N,0.85129
2020-03-03,INVX.N,0.82914
2020-03-04,INVX.N,0.81121
2020-03-05,INVX.N,0.71475
2020-03-06,INVX.N,0.66975
2020-03-09,INVX.N,0.68285
2020-03-10,INVX.N,0.66746
2020-03-12,INVX.N,0.69725
2020-03-13,INVX.N,0.67683
2020-03-16,INVX.N,0.61267
2020-03-17,INVX.N,0.60408
2020-03-19,INVX.N,0.56325
2020-03-26,INVX.N,0.54915
2020-03-31,GLDD.OQ,0.805
2020-04-03,INVX.N,0.53223
2020-04-09,INVX.N,0.48915
2020-04-12,INVX.N,0.43377
2020-04-14,INVX.N,0.38385
2020-04-15,INVX.N,0.34385
2020-05-06,GLDD.OQ,0.925
2020-05-07,INVX.N,0.28615
2020-05-08,INVX.N,0.08725
2020-05-11,INVX.N,0.06058
2020-05-12,AGM.N,8.72
2020-05-12,INVX.N,-0.01858
2020-05-13,INVX.N,-0.1413
2020-05-14,INVX.N,-0.14922
2020-05-16,INVX.N,-0.21538
2020-06-04,INVX.N,-0.14922
2020-07-06,INVX.N,-0.0893
2020-07-08,INVX.N,-0.1353
2020-07-09,INVX.N,-0.1273
2020-07-10,INVX.N,-0.0737
2020-07-16,INVX.N,-0.0837
2020-07-24,AGM.N,8.74
2020-07-31,INVX.N,-0.0987
2020-08-03,INVX.N,-0.20578
2020-08-05,GLDD.OQ,0.98
2020-08-10,INVX.N,-0.24578
2020-08-11,AGM.N,8.95
2020-08-17,INVX.N,-0.27911
2020-09-22,INVX.N,-0.33578
2020-10-02,INVX.N,-0.33689
2020-10-13,INVX.N,-0.34911
2020-10-30,INVX.N,-0.246
2020-11-02,INVX.N,0.00838
2020-11-03,INVX.N,0.01671
2020-11-05,GLDD.OQ,1.03
2020-11-10,AGM.N,9.2
2020-11-11,INVX.N,0.01671
2020-12-13,INVX.N,0.01671
2021-01-15,INVX.N,0.01529
2021-01-15,INVX.N,-0.0443
2021-01-27,AGM.N,9.6
2021-02-16,GLDD.OQ,1.025
2021-02-16,PAX.OQ,0.506
2021-02-17,PAX.OQ,0.52067
2021-02-19,GLDD.OQ,0.96
2021-02-22,PAX.OQ,0.523
2021-02-26,AGM.N,9.77
2021-02-26,INVX.N,-0.0549
2021-03-01,INVX.N,-0.0949
2021-03-02,INVX.N,-0.14467
2021-03-03,INVX.N,-0.15156
2021-03-05,INVX.N,-0.1434
2021-03-12,INVX.N,-0.15378
2021-03-18,PAX.OQ,1.05575
2021-03-19,PAX.OQ,1.0455
2021-03-23,PAX.OQ,1.0826
2021-03-31,AGM.N,10.22
2021-04-01,INVX.N,-0.1664
2021-04-07,PAX.OQ,1.0868
2021-04-22,PAX.OQ,1.05733
2021-04-30,INVX.N,-0.19489
2021-05-03,INVX.N,-0.3115
2021-05-05,INVX.N,-0.354
2021-05-06,INVX.N,-0.41025
2021-05-07,AGM.N,10.21
2021-05-10,INVX.N,-0.43525
2021-05-13,INVX.N,-0.50025
2021-05-14,GLDD.OQ,0.97
2021-05-20,PAX.OQ,1.04517
2021-05-23,PAX.OQ,1.01017
2021-05-25,PAX.OQ,1.0302
2021-06-07,INVX.N,-0.50025
2021-06-09,PAX.OQ,1.00683
2021-06-15,GLDD.OQ,0.975
2021-06-17,INVX.N,-0.50025
2021-07-01,INVX.N,-0.55743
2021-07-07,INVX.N,-0.56457
2021-07-08,GLDD.OQ,0.95
2021-07-12,PAX.OQ,1.0282
2021-07-13,PAX.OQ,1.0224
2021-07-14,PAX.OQ,1.01175
2021-07-15,PAX.OQ,1.0094
2021-07-15,INVX.N,-0.56457
2021-07-19,PAX.OQ,0.9875
2021-07-30,INVX.N,-0.73667
2021-08-02,INVX.N,-1.094
2021-08-03,AGM.N,9.95
2021-08-03,GLDD.OQ,0.9
2021-08-04,GLDD.OQ,0.76667
2021-08-05,INVX.N,-1.2428
2021-08-06,AGM.N,10.46
2021-08-19,PAX.OQ,0.8925
2021-09-07,PAX.OQ,0.995
2021-09-08,PAX.OQ,0.98
2021-09-15,GLDD.OQ,0.75667
2021-09-21,GLDD.OQ,0.73
2021-09-29,PAX.OQ,0.966
2021-10-08,PAX.OQ,0.9575
2021-10-29,INVX.N,-1.2328
2021-11-02,INVX.N,-1.2328
2021-11-03,GLDD.OQ,0.67667
2021-11-04,GLDD.OQ,0.98
2021-11-04,INVX.N,-1.25
2021-11-05,INVX.N,-1.335
2021-11-10,INVX.N,-1.4275
2021-11-15,INVX.N,-1.444
2021-11-17,GLDD.OQ,0.675
2021-11-18,PAX.OQ,0.96
2021-11-21,PAX.OQ,0.9738
2021-12-01,AGM.N,11.25
2021-12-01,AGM.N,10.41
2021-12-01,INVX.N,-1.5108
2021-12-09,PAX.OQ,0.98975
2021-12-13,PAX.OQ,0.99725
2021-12-15,PAX.OQ,0.98475
2022-02-08,INVX.N,-0.25686
2022-02-15,PAX.OQ,1.09525
2022-02-17,GLDD.OQ,0.94333
2022-02-18,GLDD.OQ,0.88
2022-02-22,PAX.OQ,1.04367
2022-02-24,INVX.N,-0.24971
2022-02-25,INVX.N,-0.274
2022-02-28,INVX.N,-0.28586
2022-03-02,INVX.N,-0.233
2022-03-04,INVX.N,-0.24267
2022-03-10,INVX.N,-0.24267
2022-03-11,INVX.N,-0.27743
2022-03-14,PAX.OQ,1.09525
2022-03-18,INVX.N,-0.32029
2022-03-29,GLDD.OQ,0.87333
2022-03-31,INVX.N,-0.344
2022-04-14,INVX.N,-0.3532
2022-04-19,INVX.N,-0.381
2022-04-29,INVX.N,-0.40817
2022-05-02,INVX.N,-0.37317
2022-05-03,PAX.OQ,1.06525
2022-05-04,GLDD.OQ,0.86
2022-05-04,INVX.N,-0.34529
2022-05-05,GLDD.OQ,0.85333
2022-05-05,INVX.N,-0.35271
2022-05-10,PAX.OQ,1.07275
2022-05-11,PAX.OQ,1.19367
2022-05-11,AGM.N,11.04
2022-05-11,INVX.N,-0.3305
2022-05-17,PAX.OQ,1.23
2022-05-23,INVX.N,-0.3266
2022-05-24,PAX.OQ,1.22667
2022-06-10,PAX.OQ,1.21
2022-06-16,INVX.N,-0.35317
2022-06-20,PAX.OQ,1.21
2022-07-14,PAX.OQ,1.14333
2022-07-25,GLDD.OQ,0.81333
2022-07-29,PAX.OQ,1.13333
2022-08-01,INVX.N,-0.3778
2022-08-03,GLDD.OQ,0.34
2022-08-04,PAX.OQ,1.12375
2022-08-09,PAX.OQ,1.10875
2022-08-10,PAX.OQ,1.07375
2022-08-11,INVX.N,-0.429
2022-08-16,INVX.N,-0.423
2022-08-22,INVX.N,-0.46067
2022-09-07,PAX.OQ,1.077
2022-10-05,PAX.OQ,1.059
2022-10-14,PAX.OQ,1.03125
2022-10-17,GLDD.OQ,0.30333
2022-10-26,PAX.OQ,1.03625
2022-10-31,INVX.N,-0.47067
2022-11-01,GLDD.OQ,0.20333
2022-11-02,GLDD.OQ,-0.09333
2022-11-03,PAX.OQ,1.02125
2022-11-04,PAX.OQ,1.057
2022-11-08,AGM.N,11.21
2022-11-13,INVX.N,-0.446
2022-11-25,PAX.OQ,1.0475
2022-12-01,INVX.N,-0.402
2022-12-05,PAX.OQ,1.055
2022-12-07,PAX.OQ,0.975
2022-12-12,INVX.N,-0.402
2022-12-13,GLDD.OQ,-0.1
2022-12-21,GLDD.OQ,-0.17333
2022-12-28,GLDD.OQ,-0.18
2022-12-30,INVX.N,-0.402
2023-01-11,GLDD.OQ,0.25667
2023-01-23,PAX.OQ,0.9775
2023-01-23,AGM.N,11.15
2023-01-24,AGM.N,11.84
2023-01-24,AGM.N,11.185
2023-01-30,INVX.N,0.159
2023-02-06,PAX.OQ,0.9525
2023-02-14,PAX.OQ,1.55
2023-02-15,PAX.OQ,1.5475
2023-02-16,GLDD.OQ,0.04667
2023-02-21,PAX.OQ,1.44
2023-02-21,GLDD.OQ,-0.12333
2023-02-24,PAX.OQ,1.5
2023-02-27,AGM.N,12.09
2023-03-01,AGM.N,12.445
2023-03-02,INVX.N,0.33467
2023-03-03,PAX.OQ,1.5
2023-03-03,INVX.N,0.3335
2023-03-06,INVX.N,0.45433
2023-03-17,INVX.N,0.5165
2023-04-04,PAX.OQ,1.45
2023-04-05,INVX.N,0.35433
2023-04-26,PAX.OQ,1.445
2023-05-03,GLDD.OQ,-0.07
2023-05-04,PAX.OQ,1.455
2023-05-05,GLDD.OQ,-0.03667
2023-05-07,PAX.OQ,1.41667
2023-05-10,AGM.N,12.67
2023-05-11,AGM.N,13.325
2023-05-11,INVX.N,0.29467
2023-05-18,INVX.N,0.254
2023-06-05,INVX.N,0.212
2023-07-05,PAX.OQ,1.41667
2023-07-10,PAX.OQ,1.40667
2023-07-26,PAX.OQ,1.36667
2023-08-02,GLDD.OQ,-0.02667
2023-08-02,INVX.N,0.30033
2023-08-03,PAX.OQ,1.36
2023-08-07,INVX.N,0.35025
2023-08-08,AGM.N,15.29
2023-08-08,INVX.N,0.38475
2023-08-14,PAX.OQ,1.35667
2023-08-15,PAX.OQ,1.36333
2023-09-05,AGM.N,15.32333
2023-10-05,PAX.OQ,1.37
2023-10-05,INVX.N,0.37875
2023-10-18,PAX.OQ,1.37
2023-10-26,PAX.OQ,1.3175
2023-10-31,GLDD.OQ,-0.04333
2023-10-31,INVX.N,0.26125
2023-11-01,INVX.N,0.1745
2023-11-02,INVX.N,0.022
2023-11-07,AGM.N,16.97
2023-11-07,PAX.OQ,1.2575
2023-11-07,AGM.N,15.59333
2023-11-07,GLDD.OQ,-0.03333
2023-11-08,PAX.OQ,1.1825
2023-11-08,GLDD.OQ,-0.02667
2023-11-21,INVX.N,-0.013
2023-11-27,INVX.N,0.69033
2023-11-30,GLDD.OQ,-0.0225
2024-01-10,PAX.OQ,1.175
2024-01-11,PAX.OQ,1.17
2024-01-23,PAX.OQ,1.5575
2024-02-14,GLDD.OQ,0.6325
2024-02-15,GLDD.OQ,0.6225
2024-02-16,PAX.OQ,1.5475
2024-02-16,GLDD.OQ,0.6125
2024-02-20,PAX.OQ,1.5425
2024-02-22,PAX.OQ,1.60667
2024-02-26,AGM.N,16.86
2024-02-27,AGM.N,17.04333
2024-02-27,INVX.N,0.66033
2024-02-28,INVX.N,0.60267
2024-03-04,INVX.N,0.6785
2024-03-12,INVX.N,0.63567
2024-03-31,INVX.N,0.6785
2024-04-03,PAX.OQ,1.62667
2024-04-08,INVX.N,0.6485
2024-04-11,PAX.OQ,1.52333
2024-04-24,PAX.OQ,1.50667
2024-05-02,PAX.OQ,1.42667
2024-05-03,PAX.OQ,1.38667
2024-05-03,INVX.N,0.5485
2024-05-07,AGM.N,16.57
2024-05-08,GLDD.OQ,0.65
2024-05-09,GLDD.OQ,0.725
2024-05-14,GLDD.OQ,0.73333
2024-05-14,INVX.N,0.445
2024-05-17,PAX.OQ,1.32667
2024-05-28,AGM.N,16.58667
2024-06-17,GLDD.OQ,0.7225
2024-07-10,PAX.OQ,1.26
2024-07-11,PAX.OQ,1.22667
2024-07-17,PAX.OQ,1.12
2024-07-28,AGM.N,16.59667
2024-08-01,PAX.OQ,1.13
2024-08-01,INVX.N,0.29
2024-08-02,PAX.OQ,1.13333
2024-08-06,AGM.N,16.12
2024-08-07,AGM.N,15.91
2024-08-07,GLDD.OQ,0.78
2024-08-08,PAX.OQ,1.175
2024-08-08,GLDD.OQ,0.795
2024-08-12,GLDD.OQ,0.8125
2024-09-10,PAX.OQ,1.11333
2024-10-03,PAX.OQ,1.08333
2024-10-21,PAX.OQ,1.04333
2024-11-05,PAX.OQ,1.025
2024-11-05,AGM.N,15.86
2024-11-06,GLDD.OQ,0.7825
2024-11-09,INVX.N,1.78
2024-11-12,PAX.OQ,1.03667
2024-11-26,INVX.N,2.12
2024-12-06,INVX.N,2.12
2024-12-10,PAX.OQ,1.025
2024-12-11,INVX.N,1.12
2024-12-11,GLDD.OQ,0.84
2024-12-11,INVX.N,1.13
2025-01-28,PAX.OQ,1.01
2025-02-12,PAX.OQ,1.345
2025-02-19,PAX.OQ,1.425
2025-02-19,GLDD.OQ,0.74
2025-02-21,AGM.N,17.60667
2025-02-21,GLDD.OQ,0.7475
2025-02-26,PAX.OQ,1.36
2025-02-28,AGM.N,17.435
2025-03-04,INVX.N,1.418
2025-03-06,AGM.N,17.32333
2025-04-03,PAX.OQ,1.32667
2025-04-17,PAX.OQ,1.30333
2025-05-05,PAX.OQ,1.34333
2025-05-07,GLDD.OQ,0.9225
2025-05-09,INVX.N,1.169
2025-05-12,AGM.N,17.41667
2025-05-13,GLDD.OQ,0.95667
2025-05-19,GLDD.OQ,0.9475
2025-05-30,INVX.N,1.169
2025-06-20,PAX.OQ,1.34333
2025-07-09,PAX.OQ,1.34667
2025-07-17,PAX.OQ,1.34
2025-08-04,PAX.OQ,1.24333
2025-08-06,GLDD.OQ,0.985
2025-08-07,AGM.N,17.43667
2025-08-08,PAX.OQ,1.19
2025-08-08,AGM.N,17.63
2025-08-08,INVX.N,1.31
2025-08-11,GLDD.OQ,1.005
2025-08-12,GLDD.OQ,1.03333
2025-08-21,GLDD.OQ,1.0375
2025-08-29,PAX.OQ,1.19667
2025-09-15,GLDD.OQ,1.03
2025-10-01,PAX.OQ,1.195
2025-10-03,PAX.OQ,1.1975
2025-10-10,AGM.N,17.51333
2025-11-04,PAX.OQ,1.205
2025-11-04,AGM.N,17.5
2025-11-05,PAX.OQ,1.21
2025-11-05,AGM.N,17.57667
2025-11-05,GLDD.OQ,1.06
2025-11-06,GLDD.OQ,1.072
2025-11-10,GLDD.OQ,1.088
2025-11-14,INVX.N,1.155
2025-11-14,INVX.N,1.599
2025-11-28,PAX.OQ,1.2175
2025-12-08,GLDD.OQ,1.116
2025-12-30,PAX.OQ,1.2275
2026-01-04,INVX.N,1.155
2026-01-14,PAX.OQ,1.2225
2026-01-20,GLDD.OQ,1.102
2026-01-22,GLDD.OQ,1.11667
2026-01-23,GLDD.OQ,1.1
2026-01-29,GLDD.OQ,1.09333
2026-01-29,GLDD.OQ,1.08
2026-02-03,PAX.OQ,1.54
2026-02-04,PAX.OQ,1.5225
2026-02-08,PAX.OQ,1.5425
2026-02-08,AGM.N,17.59
2026-02-08,AGM.N,19.52333
2026-02-10,PAX.OQ,1.52333
2026-02-20,AGM.N,19.50667
2026-02-22,AGM.N,18.86333
2026-02-24,GLDD.OQ,1.08833
2026-02-25,GLDD.OQ,1.10333
2026-02-25,INVX.N,1.478
2026-03-02,GLDD.OQ,1.16333
2026-03-02,INVX.N,1.428
2026-03-02,LLYVK.OQ,0.75
2026-03-03,INVX.N,1.428
2026-03-11,GLDD.OQ,1.145
2026-03-26,AGM.N,18.88
2014-11-21,GTY.N,0.96
2014-12-10,OCFC.OQ,1.205
2014-12-10,OCFC.OQ,1.3075
2015-01-23,OCFC.OQ,1.29667
2015-01-26,OCFC.OQ,1.30333
2015-01-27,OCFC.OQ,1.29
2015-04-02,OCFC.OQ,1.28667
2015-04-09,GTY.N,1.08
2015-04-13,ETSY.N,0.14
2015-04-16,ETSY.N,0.115
2015-04-17,ETSY.N,0.11333
2015-04-30,OCFC.OQ,1.29
2015-05-11,ETSY.N,0.11333
2015-05-20,ETSY.N,-0.29
2015-05-22,ETSY.N,-0.34333
2015-05-26,ETSY.N,-0.685
2015-06-17,GTY.N,0.78
2015-06-22,ETSY.N,-0.65
2015-06-25,ETSY.N,-0.55
2015-08-05,ETSY.N,-0.575
2015-09-08,ETSY.N,-0.5
2015-09-15,OCFC.OQ,1.245
2015-09-24,OCFC.OQ,1.24
2015-09-30,OCFC.OQ,1.25333
2015-10-12,ETSY.N,-0.53
2015-10-23,OCFC.OQ,1.22667
2015-11-04,OCFC.OQ,1.22667
2015-11-04,ETSY.N,-0.55
2015-11-09,ETSY.N,-0.565
2015-11-10,OCFC.OQ,1.225
2015-11-16,ETSY.N,-0.565
2015-11-17,ETSY.N,-0.56
2015-11-25,GTY.N,1.09
2015-11-25,GTY.N,0.95
