Date,RIC,Currency,Daily Total Return,Price Close,Volume
2017-12-04,DAKT.OQ,USD,-0.426894344,9.33,37909
2017-12-04,NAT.N,USD,-2.506265664,3.89,173094
2017-12-04,USLM.OQ,USD,-0.370724707007892,15.796625706,39379
2017-12-05,ASTE.OQ,USD,-0.247349823,56.46,63180
2017-12-05,CARS.N,USD,1.71009772,24.98,637729
2017-12-05,DAKT.OQ,USD,-0.107181136,9.32,41655
2017-12-05,NAT.N,USD,-0.771208226,3.86,131573
2017-12-05,USLM.OQ,USD,0.084023526587438,15.809898588,27299
2017-12-06,ASTE.OQ,USD,-3.471484237,54.5,69236
2017-12-06,CARS.N,USD,4.723779023,26.16,607687
2017-12-06,DAKT.OQ,USD,-1.072961373,9.22,19934
2017-12-06,NAT.N,USD,-3.10880829,3.74,151152
2017-12-06,USLM.OQ,USD,-1.5111537538978,15.570986712,8854
2017-12-07,ASTE.OQ,USD,0.844036697,54.96,98943
2017-12-07,CARS.N,USD,2.293577982,26.76,1101119
2017-12-07,DAKT.OQ,USD,-0.21691974,9.2,36245
2017-12-07,NAT.N,USD,-4.545454545,3.57,185956
2017-12-07,USLM.OQ,USD,0.949829517778858,15.71888454,10129
2017-12-08,ASTE.OQ,USD,-0.691411936,54.58,39583
2017-12-08,CARS.N,USD,0.0,26.76,245783
2017-12-08,DAKT.OQ,USD,-0.97826087,9.04,38005
2017-12-08,NAT.N,USD,2.801120448,3.67,176654
2017-12-08,USLM.OQ,USD,-0.265379975874552,15.677169768,4389
2017-12-11,ASTE.OQ,USD,-0.091608648,54.53,40749
2017-12-11,CARS.N,USD,0.224215247,26.82,218477
2017-12-11,DAKT.OQ,USD,0.663716814,9.1,34198
2017-12-11,NAT.N,USD,-0.272479564,3.66,136574
2017-12-11,USLM.OQ,USD,-0.459603289791973,15.60511698,9109
2017-12-12,ASTE.OQ,USD,-2.549055566,53.14,47973
2017-12-12,CARS.N,USD,0.894854586,27.06,323665
2017-12-12,DAKT.OQ,USD,0.0,9.1,32138
2017-12-12,NAT.N,USD,0.273224044,3.67,205989
2017-12-12,USLM.OQ,USD,-2.97691373025518,15.14056611,22084
2017-12-13,ASTE.OQ,USD,1.18554761,53.77,48449
2017-12-13,CARS.N,USD,0.923872875,27.31,276185
2017-12-13,DAKT.OQ,USD,1.758241758,9.26,30401
2017-12-13,NAT.N,USD,-27.792915531,2.65,4924946
