Date,RIC,Close Price
2018-03-05,Price Close,3355.32
2018-03-06,Price Close,3357.86
2018-03-07,Price Close,3377.36
2018-03-08,Price Close,3413.28
2018-03-09,Price Close,3420.54
2018-03-12,Price Close,3429.48
2018-03-13,Price Close,3397.35
2018-03-14,Price Close,3390.98
2018-03-15,Price Close,3414.13
2018-03-16,Price Close,3437.4
2018-03-19,Price Close,3394.79
2018-03-20,Price Close,3412.08
2018-03-21,Price Close,3401.04
2018-03-22,Price Close,3348.19
2018-03-23,Price Close,3298.07
2018-03-26,Price Close,3278.72
2018-03-27,Price Close,3316.95
2018-03-28,Price Close,3331.25
2018-03-29,Price Close,3361.5
2018-04-03,Price Close,3346.93
2018-04-04,Price Close,3340.35
2018-04-05,Price Close,3429.95
2018-04-06,Price Close,3408.1
2018-04-09,Price Close,3414.85
2018-04-10,Price Close,3438.78
2018-04-11,Price Close,3419.71
2018-04-12,Price Close,3443.97
2018-04-13,Price Close,3448.0
2018-04-16,Price Close,3441.04
2018-04-17,Price Close,3477.91
2018-04-18,Price Close,3490.89
2018-04-19,Price Close,3486.6
2018-04-20,Price Close,3494.2
2018-04-23,Price Close,3513.06
2018-04-24,Price Close,3510.88
2018-04-25,Price Close,3485.83
2018-04-26,Price Close,3506.03
2018-04-27,Price Close,3518.78
2018-04-30,Price Close,3536.52
2018-05-01,Price Close,3536.26
2018-05-02,Price Close,3553.79
2018-05-03,Price Close,3529.12
2018-05-04,Price Close,3550.59
2018-05-07,Price Close,3564.19
2018-05-08,Price Close,3557.88
2018-05-09,Price Close,3569.74
2018-05-10,Price Close,3569.71
2018-05-11,Price Close,3565.52
2018-05-14,Price Close,3565.74
2018-05-15,Price Close,3564.29
2018-05-16,Price Close,3562.85
2018-05-17,Price Close,3592.18
2018-05-18,Price Close,3573.76
2018-05-21,Price Close,3572.57
2018-05-22,Price Close,3587.25
2018-05-23,Price Close,3541.82
2018-05-24,Price Close,3521.76
2018-05-25,Price Close,3515.36
2018-05-28,Price Close,3482.64
2018-05-29,Price Close,3428.14
2018-05-30,Price Close,3441.19
2018-05-31,Price Close,3406.65
2018-06-01,Price Close,3453.54
2018-06-04,Price Close,3469.57
2018-06-05,Price Close,3456.79
2018-06-06,Price Close,3460.82
2018-06-07,Price Close,3459.77
2018-06-08,Price Close,3447.3
2018-06-11,Price Close,3480.22
2018-06-12,Price Close,3475.58
2018-06-13,Price Close,3479.56
2018-06-14,Price Close,3527.11
2018-06-15,Price Close,3505.02
2018-06-18,Price Close,3466.65
2018-06-19,Price Close,3435.3
2018-06-20,Price Close,3439.6
2018-06-21,Price Close,3403.51
2018-06-22,Price Close,3441.6
2018-06-25,Price Close,3369.21
2018-06-26,Price Close,3368.72
2018-06-27,Price Close,3397.13
2018-06-28,Price Close,3365.52
2018-06-29,Price Close,3395.6
2018-07-02,Price Close,3372.21
2018-07-03,Price Close,3406.34
2018-07-04,Price Close,3412.03
2018-07-05,Price Close,3440.92
2018-07-06,Price Close,3448.49
2018-07-09,Price Close,3460.44
2018-07-10,Price Close,3473.31
2018-07-11,Price Close,3422.35
2018-07-12,Price Close,3445.49
2018-07-13,Price Close,3454.54
2018-07-16,Price Close,3449.08
2018-07-17,Price Close,3457.5
2018-07-18,Price Close,3485.08
2018-07-19,Price Close,3471.64
2018-07-20,Price Close,3460.03
2018-07-23,Price Close,3454.05
2018-07-24,Price Close,3483.31
2018-07-25,Price Close,3468.45
2018-07-26,Price Close,3509.26
2018-07-27,Price Close,3527.18
2018-07-30,Price Close,3512.31
2018-07-31,Price Close,3525.49
2018-08-01,Price Close,3509.23
2018-08-02,Price Close,3469.21
2018-08-03,Price Close,3482.4
2018-08-06,Price Close,3483.3
2018-08-07,Price Close,3504.37
2018-08-08,Price Close,3493.6
2018-08-09,Price Close,3494.13
2018-08-10,Price Close,3426.28
2018-08-13,Price Close,3409.68
2018-08-14,Price Close,3409.44
2018-08-15,Price Close,3359.08
2018-08-16,Price Close,3377.56
2018-08-17,Price Close,3372.94
2018-08-20,Price Close,3393.67
2018-08-21,Price Close,3411.66
2018-08-22,Price Close,3420.18
2018-08-23,Price Close,3419.26
2018-08-24,Price Close,3427.44
2018-08-27,Price Close,3456.01
2018-08-28,Price Close,3447.57
2018-08-29,Price Close,3456.13
2018-08-30,Price Close,3430.99
2018-08-31,Price Close,3392.9
2018-09-03,Price Close,3394.99
2018-09-04,Price Close,3359.36
2018-09-05,Price Close,3315.62
2018-09-06,Price Close,3295.95
2018-09-07,Price Close,3293.36
2018-09-10,Price Close,3309.28
2018-09-11,Price Close,3311.66
2018-09-12,Price Close,3326.6
2018-09-13,Price Close,3333.68
2018-09-14,Price Close,3344.63
2018-09-17,Price Close,3346.11
2018-09-18,Price Close,3358.46
2018-09-19,Price Close,3368.56
2018-09-20,Price Close,3403.12
2018-09-21,Price Close,3430.81
2018-09-24,Price Close,3410.44
2018-09-25,Price Close,3419.78
2018-09-26,Price Close,3433.15
2018-09-27,Price Close,3449.79
2018-09-28,Price Close,3399.2
2018-10-01,Price Close,3414.16
2018-10-02,Price Close,3388.99
2018-10-03,Price Close,3405.48
2018-10-04,Price Close,3375.08
2018-10-05,Price Close,3345.51
2018-10-08,Price Close,3309.72
2018-10-09,Price Close,3321.79
2018-10-10,Price Close,3266.9
2018-10-11,Price Close,3209.19
2018-10-12,Price Close,3194.41
2018-10-15,Price Close,3210.37
2018-10-16,Price Close,3257.34
2018-10-17,Price Close,3243.08
2018-10-18,Price Close,3211.59
2018-10-19,Price Close,3210.82
2018-10-22,Price Close,3190.09
2018-10-23,Price Close,3140.94
2018-10-24,Price Close,3130.33
2018-10-25,Price Close,3164.4
2018-10-26,Price Close,3134.89
2018-10-29,Price Close,3154.93
2018-10-30,Price Close,3147.13
2018-10-31,Price Close,3197.51
2018-11-01,Price Close,3204.21
2018-11-02,Price Close,3214.41
2018-11-05,Price Close,3217.37
2018-11-06,Price Close,3207.42
2018-11-07,Price Close,3246.16
2018-11-08,Price Close,3237.6
2018-11-09,Price Close,3229.49
2018-11-12,Price Close,3194.08
2018-11-13,Price Close,3224.82
2018-11-14,Price Close,3205.36
2018-11-15,Price Close,3190.31
2018-11-16,Price Close,3180.74
2018-11-19,Price Close,3160.33
2018-11-20,Price Close,3116.07
2018-11-21,Price Close,3153.91
2018-11-22,Price Close,3126.67
2018-11-23,Price Close,3137.21
2018-11-26,Price Close,3172.71
2018-11-27,Price Close,3166.42
2018-11-28,Price Close,3168.29
2018-11-29,Price Close,3174.16
2018-11-30,Price Close,3173.13
2018-12-03,Price Close,3214.99
2018-12-04,Price Close,3189.25
2018-12-05,Price Close,3150.27
2018-12-06,Price Close,3045.94
2018-12-07,Price Close,3058.53
2018-12-10,Price Close,3016.99
2018-12-11,Price Close,3055.32
2018-12-12,Price Close,3107.97
2018-12-13,Price Close,3112.17
2018-12-14,Price Close,3092.6
2018-12-17,Price Close,3063.65
2018-12-18,Price Close,3040.13
2018-12-19,Price Close,3051.38
2018-12-20,Price Close,3000.06
2018-12-21,Price Close,3000.61
2018-12-24,Price Close,2973.78
2018-12-27,Price Close,2937.36
2018-12-28,Price Close,2986.53
2018-12-31,Price Close,3001.42
2019-01-02,Price Close,2993.18
2019-01-03,Price Close,2954.66
2019-01-04,Price Close,3041.85
2019-01-07,Price Close,3033.64
2019-01-08,Price Close,3054.94
2019-01-09,Price Close,3070.24
2019-01-10,Price Close,3075.73
2019-01-11,Price Close,3070.04
2019-01-14,Price Close,3055.18
2019-01-15,Price Close,3068.05
2019-01-16,Price Close,3077.22
2019-01-17,Price Close,3069.35
2019-01-18,Price Close,3134.92
2019-01-21,Price Close,3125.07
2019-01-22,Price Close,3112.8
2019-01-23,Price Close,3112.13
2019-01-24,Price Close,3126.31
2019-01-25,Price Close,3163.24
2019-01-28,Price Close,3137.27
2019-01-29,Price Close,3153.42
2019-01-30,Price Close,3161.74
2019-01-31,Price Close,3159.43
2019-02-01,Price Close,3171.12
2019-02-04,Price Close,3165.2
2019-02-05,Price Close,3215.04
2019-02-06,Price Close,3212.75
2019-02-07,Price Close,3150.76
2019-02-08,Price Close,3135.62
2019-02-11,Price Close,3165.61
2019-02-12,Price Close,3190.75
2019-02-13,Price Close,3202.37
2019-02-14,Price Close,3182.66
2019-02-15,Price Close,3241.25
2019-02-18,Price Close,3244.79
2019-02-19,Price Close,3239.41
2019-02-20,Price Close,3259.49
2019-02-21,Price Close,3263.7
2019-02-22,Price Close,3270.55
2019-02-25,Price Close,3280.01
2019-02-26,Price Close,3289.32
2019-02-27,Price Close,3282.77
2019-02-28,Price Close,3298.26
2019-03-01,Price Close,3312.1
2019-03-04,Price Close,3317.12
2019-03-05,Price Close,3327.19
2019-03-06,Price Close,3324.67
2019-03-07,Price Close,3308.85
2019-03-08,Price Close,3283.6
2019-03-11,Price Close,3304.44
2019-03-12,Price Close,3303.95
2019-03-13,Price Close,3323.45
2019-03-14,Price Close,3342.03
2019-03-15,Price Close,3386.08
2019-03-18,Price Close,3387.94
2019-03-19,Price Close,3409.0
2019-03-20,Price Close,3372.38
2019-03-21,Price Close,3367.4
2019-03-22,Price Close,3305.73
