internal_code,currency,target_notional
CALY.N,USD,-1016.0
CAPR.OQ,USD,1276.71
CAR.OQ,USD,-1115.89
CARE.OQ,USD,2665.42
CARG.OQ,USD,-2190.66
CARL.OQ,USD,-225.12
CARR.N,USD,-890.31
CARS.N,USD,0.0
CART.OQ,USD,-685.17
CASH.OQ,USD,1170.57
CASS.OQ,USD,0.0
CASY.OQ,USD,3762.58
CAT.N,USD,2011.2
CATX.A,USD,0.0
CATY.OQ,USD,908.99
CAVA.N,USD,0.0
CB.N,USD,1736.99
CBAN.N,USD,0.0
CBFV.OQ,USD,0.0
CBK.OQ,USD,2098.79
CBL.N,USD,-366.14
CBLL.OQ,USD,906.88
CBNA.N,USD,911.1
CBNK.OQ,USD,0.0
CBOE.Z,USD,1794.82
CBRE.N,USD,-1549.56
CBRL.OQ,USD,-1681.56
CBSH.OQ,USD,526.77
CBT.N,USD,-240.11
CBU.N,USD,887.43
CBZ.N,USD,-485.97
CC.N,USD,-1997.78
CCB.OQ,USD,-1575.72
CCBG.OQ,USD,0.0
CCC.OQ,USD,-3146.36
CCI.N,USD,1320.62
CCK.N,USD,335.15
CCL.N,USD,-1466.54
CCNE.OQ,USD,4917.16
CCOI.OQ,USD,1088.74
CCRN.OQ,USD,0.0
CCS.N,USD,-577.06
CCSI.OQ,USD,0.0
CD.OQ,USD,0.0
CDE.N,USD,2092.11
CDNA.OQ,USD,-119.63
CDNS.OQ,USD,-4334.03
CDP.N,USD,2175.78
CDRE.N,USD,581.66
CDW.OQ,USD,-2831.24
CDXS.OQ,USD,0.0
CDZI.OQ,USD,274.51
CE.N,USD,-2141.78
CECO.OQ,USD,-73.62
CEG.OQ,USD,-868.85
CELC.OQ,USD,1419.17
CELH.OQ,USD,-758.76
CENT.OQ,USD,124.09
CENTA.OQ,USD,0.0
CENX.OQ,USD,1114.54
CERS.OQ,USD,0.0
CERT.OQ,USD,-1842.91
CEVA.OQ,USD,-1666.69
CF.N,USD,3187.4
CFBK.OQ,USD,0.0
CFFI.OQ,USD,0.0
CFFN.OQ,USD,0.0
CFG.N,USD,714.21
CFLT.OQ,USD,922.62
CFR.N,USD,919.15
CG.OQ,USD,-1687.16
CGEM.OQ,USD,0.0
CGNX.OQ,USD,-3386.37
CGON.OQ,USD,0.0
CHCO.OQ,USD,0.0
CHCT.N,USD,0.0
CHD.N,USD,1709.79
CHDN.OQ,USD,-1462.0
CHE.N,USD,1074.51
CHEF.OQ,USD,341.39
CHH.N,USD,-1859.73
CHMG.OQ,USD,0.0
CHRD.OQ,USD,-237.35
CHRS.OQ,USD,0.0
CHRW.OQ,USD,950.12
CHTR.OQ,USD,-4579.85
CHWY.N,USD,-1046.86
CI.N,USD,1468.54
CIA.N,USD,0.0
CIEN.N,USD,2008.27
CIFR.OQ,USD,-1358.41
CIM.N,USD,1511.15
CINF.OQ,USD,914.18
CIVB.OQ,USD,0.0
CIX.A,USD,0.0
CL.N,USD,1615.85
CLAR.OQ,USD,0.0
CLB.N,USD,0.0
CLBK.OQ,USD,0.0
CLDT.N,USD,0.0
CLDX.OQ,USD,2168.24
CLF.N,USD,-1777.11
CLFD.OQ,USD,130.06
CLH.N,USD,3267.21
CLMB.OQ,USD,350.93
CLMT.OQ,USD,630.71
CLNE.OQ,USD,129.45
CLOV.OQ,USD,0.0
CLPR.N,USD,0.0
CLPT.OQ,USD,0.0
CLSK.OQ,USD,-705.74
CLVT.N,USD,-836.1
CLW.N,USD,0.0
CLX.N,USD,1650.64
CMC.N,USD,801.08
CMCL.A,USD,256.79
CMCO.OQ,USD,0.0
CMCSA.OQ,USD,-451.61
CMDB.N,USD,1149.21
CME.OQ,USD,2219.27
CMG.N,USD,-1673.84
CMI.N,USD,940.52
CMP.N,USD,1785.18
CMPR.OQ,USD,0.0
CMPX.OQ,USD,0.0
CMRC.OQ,USD,-400.42
CMRE.N,USD,574.57
CMS.N,USD,2521.55
CMT.A,USD,0.0
CMTG.N,USD,0.0
CNA.N,USD,3520.58
CNC.N,USD,910.92
CNDT.OQ,USD,-331.34
CNH.N,USD,-1735.75
CNK.N,USD,-893.57
CNM.N,USD,-1220.05
CNMD.N,USD,-2014.32
CNNE.N,USD,0.0
CNO.N,USD,740.85
CNOB.OQ,USD,0.0
CNP.N,USD,3286.56
CNR.N,USD,2408.78
CNS.N,USD,-893.16
CNX.N,USD,1294.8
CNXC.OQ,USD,-1964.95
CNXN.OQ,USD,0.0
COCO.OQ,USD,1035.81
CODI.N,USD,0.0
COF.N,USD,-2103.87
COFS.OQ,USD,0.0
COGT.OQ,USD,2405.62
COHR.N,USD,3178.99
COHU.OQ,USD,854.73
COIN.OQ,USD,-1589.56
COKE.OQ,USD,1870.48
COLB.OQ,USD,777.27
COLD.N,USD,-1826.51
COLL.OQ,USD,689.84
COLM.OQ,USD,-4993.11
COMP.N,USD,-201.93
CON.N,USD,0.0
COO.OQ,USD,1512.62
COOK.N,USD,0.0
COP.N,USD,1124.4
COR.N,USD,1457.03
CORT.OQ,USD,-2016.44
CORZ.OQ,USD,0.0
COSO.N,USD,1653.28
COST.OQ,USD,1126.64
COTY.N,USD,-1563.18
COUR.N,USD,-2548.49
CPAY.N,USD,-2880.38
CPB.OQ,USD,-1142.08
CPF.N,USD,0.0
CPK.N,USD,1711.09
CPNG.N,USD,-2362.31
CPRI.N,USD,-1492.77
CPRT.OQ,USD,-842.75
CPRX.OQ,USD,2184.72
CPS.N,USD,0.0
CPSS.OQ,USD,0.0
CPT.N,USD,945.22
CR.N,USD,-64.26
CRAI.OQ,USD,-1845.67
CRBG.N,USD,-1634.94
CRC.N,USD,-963.44
CRCL.N,USD,0.0
CRCT.OQ,USD,-1697.39
CRDF.OQ,USD,0.0
CRDO.OQ,USD,-1832.16
CRDa.N,USD,0.0
CRGY.N,USD,932.48
CRH.N,USD,-564.09
CRI.N,USD,-1572.33
CRK.N,USD,-2252.0
CRL.N,USD,-1538.42
CRM.N,USD,-2394.44
CRMD.OQ,USD,-1493.58
CRML.OQ,USD,0.0
CRMT.OQ,USD,0.0
CRNC.OQ,USD,0.0
CRNX.OQ,USD,932.6
CROX.OQ,USD,-2365.77
CRS.N,USD,1131.64
CRSP.OQ,USD,-178.68
CRSR.OQ,USD,-586.9
CRUS.OQ,USD,647.83
CRVL.OQ,USD,-1204.52
CRVS.OQ,USD,1624.12
CRWD.OQ,USD,-880.13
CSCO.OQ,USD,981.92
CSGP.OQ,USD,-1101.07
CSGS.OQ,USD,1362.91
CSL.N,USD,-1321.49
CSPI.OQ,USD,0.0
CSR.N,USD,834.12
CSTL.OQ,USD,-741.14
CSTM.N,USD,3658.24
CSV.N,USD,0.0
CSW.N,USD,-2281.75
CSX.OQ,USD,3353.71
CTAS.OQ,USD,522.35
CTBI.OQ,USD,0.0
CTEV.N,USD,0.0
