Date,RIC,Currency,Daily Total Return,Price Close,Volume
2026-02-17,NBHC.N,USD,-0.239005736137671,41.74,140189
2026-02-17,NBIX.OQ,USD,2.9326458266194,127.76,540796
2026-02-17,NBR.N,USD,5.59471365638767,71.91,134561
2026-02-17,NCLH.N,USD,12.1451838064216,24.1,10631765
2026-02-17,NCNO.OQ,USD,0.247831474597269,16.18,937911
2026-02-17,NDAQ.OQ,USD,0.968919088964384,80.24,2202088
2026-02-17,NDSN.OQ,USD,-0.422549381266974,296.93,156681
2026-02-17,NE.N,USD,-5.12876473155827,43.47,868647
2026-02-17,NEE.N,USD,-1.16204690831557,92.71,2735349
2026-02-17,NEM.N,USD,-2.77424483306836,122.31,2127682
2026-02-17,NEO.OQ,USD,0.527240773286456,11.44,1754414
2026-02-17,NEOG.OQ,USD,0.457038391224869,10.99,835379
2026-02-17,NESR.OQ,USD,16.0345655304849,24.17,1238628
2026-02-17,NET.N,USD,-1.10799080929282,193.68,1465476
2026-02-17,NEU.N,USD,1.1808367071525,599.8,43649
2026-02-17,NFG.N,USD,-0.194641630409894,87.17,243678
2026-02-17,NFLX.OQ,USD,0.16911669051645,77.0,8889183
2026-02-17,NGVT.N,USD,-0.992555831265497,75.81,73049
2026-02-17,NHI.N,USD,1.91467920725562,91.02,98807
2026-02-17,NI.N,USD,0.75496117342537,46.71,1367359
2026-02-17,NIC.N,USD,1.60448482505317,157.68,69319
2026-02-17,NIQ.N,USD,4.92107706592387,11.3,322621
2026-02-17,NJR.N,USD,-0.129079845104186,54.16,168160
2026-02-17,NKE.N,USD,2.67701568192617,64.82,2761725
2026-02-17,MSFT.OQ,USD,-1.11133260241203,396.86,
2026-02-17,MSGE.N,USD,0.86386178211486,63.05,
2026-02-17,MSGS.N,USD,0.789076437491407,293.78,
2026-02-17,MSI.N,USD,-0.866250866250866,457.76,
2026-02-17,MSM.N,USD,-0.606125053168872,93.47,
2026-02-17,MSTR.OQ,USD,-3.89154466686586,128.67,
2026-02-17,MTB.N,USD,-0.153032224214068,228.36,
2026-02-17,MTCH.OQ,USD,-1.04918032786885,30.18,
2026-02-17,MTD.N,USD,-0.566516036592089,1353.24,
2026-02-17,MTDR.N,USD,-0.857740585774052,47.39,
