Date,RIC,Currency,Daily Total Return,Price Close,Volume
2025-03-24,VATN.S,CHF,0.0,119.6,24908
2025-03-24,ZAB.WA,PLN,3.49132947976878,22.38,1923140
2025-03-25,AIXGn.DE,EUR,0.638841567291306,11.815,485989
2025-03-25,BFT.WA,PLN,1.36286201022147,2975.0,6214
2025-03-25,HOCM.L,GBp,0.191204588910134,262.0,13799196
2025-03-25,INGP.WA,PLN,1.53609831029186,330.5,21059
2025-03-25,PAFR.L,GBp,3.99500624219726,41.65,4141112
2025-03-25,PIRC.MI,EUR,-2.5084745762712,5.752,5097268
2025-03-25,TPE.WA,PLN,2.05364626990779,4.87,2494260
2025-03-25,TPRO.MI,EUR,4.4388609715243,6.235,1634904
2025-03-25,VATN.S,CHF,0.167224080267561,119.8,20507
2025-03-25,ZAB.WA,PLN,-5.1385165326184,21.23,6513731
2025-03-26,AIXGn.DE,EUR,-3.85103681760474,11.36,960575
2025-03-26,BFT.WA,PLN,-1.17647058823529,2940.0,7145
2025-03-26,HOCM.L,GBp,-0.572519083969466,260.5,7560848
2025-03-26,INGP.WA,PLN,-0.453857791225416,329.0,11062
2025-03-26,PAFR.L,GBp,0.24009603841537,41.75,3357259
2025-03-26,PIRC.MI,EUR,-2.85118219749652,5.588,4791696
2025-03-26,TPE.WA,PLN,0.59548254620123,4.899,1855352
2025-03-26,TPRO.MI,EUR,-3.28789093825181,6.03,605303
2025-03-26,VATN.S,CHF,1.00166944908181,121.0,18008
2025-03-26,ZAB.WA,PLN,-0.070654733867172,21.215,3390488
2025-03-27,AIXGn.DE,EUR,-1.27640845070422,11.215,672546
2025-03-27,BFT.WA,PLN,-0.850340136054422,2915.0,4809
2025-03-27,HOCM.L,GBp,2.30326295585413,266.5,1303696
2025-03-27,INGP.WA,PLN,0.60790273556231,331.0,7613
2025-03-27,PAFR.L,GBp,2.27544910179641,42.7,6663591
2025-03-27,PIRC.MI,EUR,-0.286327845382964,5.572,2911603
2025-03-27,TPE.WA,PLN,0.081649316186968,4.903,1401397
2025-03-27,TPRO.MI,EUR,-0.248756218905482,6.015,361541
2025-03-27,VATN.S,CHF,-0.495867768595037,120.4,16723
2025-03-27,ZAB.WA,PLN,1.6969125618666,21.575,1664152
2025-03-28,AIXGn.DE,EUR,-5.7958091841284,10.565,1744065
2025-03-28,BFT.WA,PLN,-0.171526586620926,2910.0,4699
2025-03-28,HOCM.L,GBp,1.87617260787993,271.5,1316301
2025-03-28,INGP.WA,PLN,-1.81268882175227,325.0,7899
2025-03-28,PAFR.L,GBp,1.40515222482434,43.3,3890749
2025-03-28,PIRC.MI,EUR,-1.22038765254847,5.504,1856365
2025-03-28,TPE.WA,PLN,2.95737303691618,5.048,3048449
2025-03-28,TPRO.MI,EUR,-3.07564422277639,5.83,551261
