index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Net Income Incl Extra Before Distributions,Free Cash Flow,Dividend yield
17,ATMU.N,Atmus Filtration Technologies Inc,5226330854.92,Consumer Cyclicals,,18.2758614815833,1764300000,,,0.343106674984404
18,PL.N,Planet Labs PBC,7647238338.08,Industrials,1.5106104323,,244352000,-123196000,-131900000.0,
19,WM.N,Waste Management Inc,94590307360.12,Industrials,24.807549044,15.7024507844873,25204000000,2708000000,1011000000.0,1.40712945590994
20,RIVN.OQ,Rivian Automotive Inc,22002748958.97,Consumer Cyclicals,3.849915683,,5387000000,-3646000000,-4552000000.0,
21,YEXT.N,Yext Inc,683032373.29,Technology,1.2076627654,12.7801700603851,420957000,-27948000,-11502000.0,
22,WING.OQ,Wingstop Inc,6158956189.1,Consumer Cyclicals,-23.087485476,33.7825601484985,625807000,108717000,47419000.0,0.541394089781187
23,ACRE.N,Ares Commercial Real Estate Corp,286250864.24,Real Estate,9.2841110935,259.379372487572,119992000,-902000,-33142000.0,11.605415860735
24,EEX.N,Emerald Holding Inc,943541083.35,Industrials,2.4643659957,11.8281563229895,398800000,2200000,-6700000.0,1.25786163522013
25,VIA.N,Via Transportation Inc,1459454576.4,Technology,2.6206370601,,337630000,-90281000,-85877000.0,
26,OPK.OQ,OPKO Health Inc,944272574.4,Healthcare,1.967448928,,713142000,-53224000,20018000.0,
27,NRC.OQ,National Research Corp,273458004.16,Industrials,0.625027923,11.5287928302886,137390000,11600000,-2460000.0,5.29801324503311
28,INBK.OQ,First Internet Bancorp,183252138.43,Financials,41.210565443,,,-35168000,,1.13771035790472
29,ADM.N,Archer-Daniels-Midland Co,33404402279.85,Consumer Non-Cyclicals,46.9834710744,16.080846956463,80269000000,1078000000,19000000.0,2.99237519781326
30,ABM.N,ABM Industries Inc,2678506088.75,Industrials,28.6613162119,9.64918989726029,8745900000,162300000,123000000.0,2.60615592001797
31,RKT.N,Rocket Companies Inc,52600825424.16,Technology,4.9809667075,47.30443107423,5416391000,29370000,681236000.0,
32,IR.N,Ingersoll Rand Inc,38533308800.28,Industrials,25.3373029396,20.8622543079224,7650900000,581400000,1054300000.0,0.081201786439302
33,XP.OQ,XP Inc,10330194569.09,Financials,44.65370232,19.7060022249894,18398597000,5169787000,4489352000.0,0.905888273779567
34,CACI.N,CACI International Inc,12661774234.2,Technology,175.0323639142,14.5911245147071,8627824000,499830000,629727000.0,
35,VUZI.OQ,Vuzix Corp,202720009.58,Technology,0.5497521965,,5754560,-73538160,-71527940.0,
36,COF.N,Capital One Financial Corp,129626987000.0,Financials,210.1276123544,17.6039572135442,,2453000000,,1.54313545835945
37,CAR.OQ,Avis Budget Group Inc,4165564003.2,Industrials,-65.5492957746,6.6254438093843,11789000000,-1821000000,-8984000000.0,
38,DAKT.OQ,Daktronics Inc,1340077489.33,Technology,5.714396789,20.4355272978167,756477000,-10121000,-11683000.0,
39,NKSH.OQ,National Bankshares Inc,242698969.94,Financials,,13.6346473163611,,,,4.09019402202412
