Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2022-04-07,EXHO.PA,90.455,,20491818100
2022-04-07,GALP.LS,12.81111,2.34783,21006681390
2022-04-07,PLUSP.L,1888.75,2.25,595675000
2022-04-07,RAND.AS,64.34375,3.0,26829683170
2022-04-07,REP.MC,14.54346,,60440413290
2022-04-07,SAMPO.HE,9.65882,2.31579,5120833670
2022-04-07,SASY.PA,108.84615,,41006322960
2022-04-07,SDR.L,,,2547215750
2022-04-07,SUBC.OL,95.16686,,4854187210
2022-04-07,BAWG.VI,,,1269937140
2022-04-07,GALP.LS,12.81111,2.34783,
2022-04-07,PLUSP.L,1888.75,2.25,
2022-04-07,RAND.AS,,3.0,26829683170
2022-04-07,REP.MC,14.54346,,
2022-04-07,SAMPO.HE,9.65882,,5120833670
2022-04-07,SUBC.OL,95.16686,,
2022-04-07,GALP.LS,,2.34783,
2022-04-07,PLUSP.L,,2.25,
2022-04-07,SAMPO.HE,,,5120833670
2022-04-08,AAK.ST,213.22222,,42684722500
2022-04-08,ANTO.L,,,6646527130
2022-04-08,BKGH.L,5112.17283,,
2022-04-08,DRX.L,808.875,,5532063330
2022-04-08,EQNR.OL,,,127728626730
2022-04-08,EXHO.PA,90.405,2.29167,20517108000
2022-04-08,GALP.LS,,,21581154830
2022-04-08,INDUc.ST,311.5315,,
2022-04-08,INPST.AS,12.20909,,
2022-04-08,NSISb.CO,,,2185578920
2022-04-08,OREP.PA,,,35819486690
2022-04-08,PLUSP.L,,,600766670
2022-04-08,REP.MC,,,60460803290
2022-04-08,SASY.PA,108.80769,,41045390070
2022-04-08,SDR.L,,,2548653250
2022-04-08,SUBC.OL,,,4850319320
2022-04-08,DRX.L,808.875,,
2022-04-10,EXHO.PA,,,20517108000
2022-04-10,INWT.MI,12.12143,,
2022-04-10,RAND.AS,64.34375,,
2022-04-10,TPRO.MI,9.0,2.0,
2022-04-11,ANTO.L,1622.07374,,6643127130
2022-04-11,DANSKE.CO,135.15,,42999685780
2022-04-11,DRX.L,,,5683071250
2022-04-11,EDP.LS,5.61842,1.86957,
2022-04-11,EQNR.OL,,,127902373000
2022-04-11,EXHO.PA,90.565,2.20833,
2022-04-11,INDUc.ST,,,5411508000
2022-04-11,KYGa.I,127.45833,,7640980470
2022-04-11,MBGn.DE,,,141013636610
2022-04-11,REP.MC,14.58192,,60905612810
2022-04-11,RR.L,,,12074351410
2022-04-11,SSE.L,1832.86667,,
2022-04-11,TKAG.DE,13.34333,,36407610530
2022-04-11,VOWG_p.DE,,2.13333,265219794710
2022-04-11,EDP.LS,,1.86957,
2022-04-11,EXHO.PA,,2.20833,
2022-04-11,REP.MC,,,60905612810
2022-04-11,VOWG_p.DE,,2.13333,
2022-04-12,AM.PA,157.36364,,5997770250
