Date,RIC,0
2017-05-26,Price Close,2415.82
2017-05-30,Price Close,2412.91
2017-05-31,Price Close,2411.8
2017-06-01,Price Close,2430.06
2017-06-02,Price Close,2439.07
2017-06-05,Price Close,2436.1
2017-06-06,Price Close,2429.33
2017-06-07,Price Close,2433.14
2017-06-08,Price Close,2433.79
2017-06-09,Price Close,2431.77
2017-06-12,Price Close,2429.39
2017-06-13,Price Close,2440.35
2017-06-14,Price Close,2437.92
2017-06-15,Price Close,2432.46
2017-06-16,Price Close,2433.15
2017-06-19,Price Close,2453.46
2017-06-20,Price Close,2437.03
2017-06-21,Price Close,2435.61
2017-06-22,Price Close,2434.5
2017-06-23,Price Close,2438.3
2017-06-26,Price Close,2439.07
2017-06-27,Price Close,2419.38
2017-06-28,Price Close,2440.69
2017-06-29,Price Close,2419.7
2017-06-30,Price Close,2423.41
2017-07-03,Price Close,2429.01
2017-07-05,Price Close,2432.54
2017-07-06,Price Close,2409.75
2017-07-07,Price Close,2425.18
2017-07-10,Price Close,2427.43
2017-07-11,Price Close,2425.53
2017-07-12,Price Close,2443.25
2017-07-13,Price Close,2447.83
2017-07-14,Price Close,2459.27
2017-07-17,Price Close,2459.14
2017-07-18,Price Close,2460.61
2017-07-19,Price Close,2473.83
2017-07-20,Price Close,2473.45
2017-07-21,Price Close,2472.54
2017-07-24,Price Close,2469.91
2017-07-25,Price Close,2477.13
2017-07-26,Price Close,2477.83
2017-07-27,Price Close,2475.42
2017-07-28,Price Close,2472.1
2017-07-31,Price Close,2470.3
2017-08-01,Price Close,2476.35
2017-08-02,Price Close,2477.57
2017-08-03,Price Close,2472.16
2017-08-04,Price Close,2476.83
2017-08-07,Price Close,2480.91
2017-08-08,Price Close,2474.92
2017-08-09,Price Close,2474.02
2017-08-10,Price Close,2438.21
2017-08-11,Price Close,2441.32
2017-08-14,Price Close,2465.84
2017-08-15,Price Close,2464.61
2017-08-16,Price Close,2468.11
2017-08-17,Price Close,2430.01
2017-08-18,Price Close,2425.55
2017-08-21,Price Close,2428.37
2017-08-22,Price Close,2452.51
2017-08-23,Price Close,2444.04
2017-08-24,Price Close,2438.97
2017-08-25,Price Close,2443.05
2017-08-28,Price Close,2444.24
2017-08-29,Price Close,2446.3
2017-08-30,Price Close,2457.59
2017-08-31,Price Close,2471.65
2017-09-01,Price Close,2476.55
2017-09-05,Price Close,2457.85
2017-09-06,Price Close,2465.54
2017-09-07,Price Close,2465.1
2017-09-08,Price Close,2461.43
2017-09-11,Price Close,2488.11
2017-09-12,Price Close,2496.48
2017-09-13,Price Close,2498.37
2017-09-14,Price Close,2495.62
2017-09-15,Price Close,2500.23
2017-09-18,Price Close,2503.87
2017-09-19,Price Close,2506.65
2017-09-20,Price Close,2508.24
2017-09-21,Price Close,2500.6
2017-09-22,Price Close,2502.22
2017-09-25,Price Close,2496.66
2017-09-26,Price Close,2496.84
2017-09-27,Price Close,2507.04
2017-09-28,Price Close,2510.06
2017-09-29,Price Close,2519.36
2017-10-02,Price Close,2529.12
2017-10-03,Price Close,2534.58
2017-10-04,Price Close,2537.74
2017-10-05,Price Close,2552.07
2017-10-06,Price Close,2549.33
2017-10-09,Price Close,2544.73
2017-10-10,Price Close,2550.64
2017-10-11,Price Close,2555.24
2017-10-12,Price Close,2550.93
2017-10-13,Price Close,2553.17
2017-10-16,Price Close,2557.64
2017-10-17,Price Close,2559.36
2017-10-18,Price Close,2561.26
2017-10-19,Price Close,2562.1
2017-10-20,Price Close,2575.21
2017-10-23,Price Close,2564.98
2017-10-24,Price Close,2569.13
2017-10-25,Price Close,2557.15
2017-10-26,Price Close,2560.4
2017-10-27,Price Close,2581.07
2017-10-30,Price Close,2572.83
2017-10-31,Price Close,2575.26
2017-11-01,Price Close,2579.36
2017-11-02,Price Close,2579.85
2017-11-03,Price Close,2587.84
2017-11-06,Price Close,2591.13
2017-11-07,Price Close,2590.64
2017-11-08,Price Close,2594.38
2017-11-09,Price Close,2584.62
2017-11-10,Price Close,2582.3
2017-11-13,Price Close,2584.84
2017-11-14,Price Close,2578.87
2017-11-15,Price Close,2564.62
2017-11-16,Price Close,2585.64
2017-11-17,Price Close,2578.85
2017-11-20,Price Close,2582.14
2017-11-21,Price Close,2599.03
2017-11-22,Price Close,2597.08
2017-11-24,Price Close,2602.42
2017-11-27,Price Close,2601.42
2017-11-28,Price Close,2627.04
2017-11-29,Price Close,2626.07
2017-11-30,Price Close,2647.58
2017-12-01,Price Close,2642.22
2017-12-04,Price Close,2639.44
2017-12-05,Price Close,2629.57
2017-12-06,Price Close,2629.27
2017-12-07,Price Close,2636.98
2017-12-08,Price Close,2651.5
2017-12-11,Price Close,2659.99
2017-12-12,Price Close,2664.11
2017-12-13,Price Close,2662.85
2017-12-14,Price Close,2652.01
2017-12-15,Price Close,2675.81
2017-12-18,Price Close,2690.16
2017-12-19,Price Close,2681.47
2017-12-20,Price Close,2679.25
2017-12-21,Price Close,2684.57
2017-12-22,Price Close,2683.34
2017-12-26,Price Close,2680.5
2017-12-27,Price Close,2682.62
2017-12-28,Price Close,2687.54
2017-12-29,Price Close,2673.61
2018-01-02,Price Close,2695.81
2018-01-03,Price Close,2713.06
2018-01-04,Price Close,2723.99
2018-01-05,Price Close,2743.15
2018-01-08,Price Close,2747.71
2018-01-09,Price Close,2751.29
2018-01-10,Price Close,2748.23
2018-01-11,Price Close,2767.56
2018-01-12,Price Close,2786.24
2018-01-16,Price Close,2776.42
2018-01-17,Price Close,2802.56
2018-01-18,Price Close,2798.03
2018-01-19,Price Close,2810.3
2018-01-22,Price Close,2832.97
2018-01-23,Price Close,2839.13
2018-01-24,Price Close,2837.54
2018-01-25,Price Close,2839.25
2018-01-26,Price Close,2872.87
2018-01-29,Price Close,2853.53
2018-01-30,Price Close,2822.43
2018-01-31,Price Close,2823.81
2018-02-01,Price Close,2821.98
2018-02-02,Price Close,2762.13
2018-02-05,Price Close,2648.94
2018-02-06,Price Close,2695.14
2018-02-07,Price Close,2681.66
2018-02-08,Price Close,2581.0
2018-02-09,Price Close,2619.55
2018-02-12,Price Close,2656.0
2018-02-13,Price Close,2662.94
2018-02-14,Price Close,2698.63
2018-02-15,Price Close,2731.2
2018-02-16,Price Close,2732.22
2018-02-20,Price Close,2716.26
2018-02-21,Price Close,2701.33
2018-02-22,Price Close,2703.96
2018-02-23,Price Close,2747.3
2018-02-26,Price Close,2779.6
2018-02-27,Price Close,2744.28
2018-02-28,Price Close,2713.83
2018-03-01,Price Close,2677.67
2018-03-02,Price Close,2691.25
2018-03-05,Price Close,2720.94
2018-03-06,Price Close,2728.12
2018-03-07,Price Close,2726.8
2018-03-08,Price Close,2738.97
2018-03-09,Price Close,2786.57
2018-03-12,Price Close,2783.02
2018-03-13,Price Close,2765.31
2018-03-14,Price Close,2749.48
2018-03-15,Price Close,2747.33
2018-03-16,Price Close,2752.01
2018-03-19,Price Close,2712.92
2018-03-20,Price Close,2716.94
2018-03-21,Price Close,2711.93
2018-03-22,Price Close,2643.69
2018-03-23,Price Close,2588.26
2018-03-26,Price Close,2658.55
2018-03-27,Price Close,2612.62
2018-03-28,Price Close,2605.0
2018-03-29,Price Close,2640.87
2018-04-02,Price Close,2581.88
2018-04-03,Price Close,2614.45
2018-04-04,Price Close,2644.69
2018-04-05,Price Close,2662.84
2018-04-06,Price Close,2604.47
2018-04-09,Price Close,2613.16
2018-04-10,Price Close,2656.87
2018-04-11,Price Close,2642.19
2018-04-12,Price Close,2663.99
2018-04-13,Price Close,2656.3
2018-04-16,Price Close,2677.84
2018-04-17,Price Close,2706.39
2018-04-18,Price Close,2708.64
2018-04-19,Price Close,2693.13
2018-04-20,Price Close,2670.14
2018-04-23,Price Close,2670.29
2018-04-24,Price Close,2634.56
2018-04-25,Price Close,2639.4
2018-04-26,Price Close,2666.94
2018-04-27,Price Close,2669.91
2018-04-30,Price Close,2648.05
2018-05-01,Price Close,2654.8
2018-05-02,Price Close,2635.67
2018-05-03,Price Close,2629.73
2018-05-04,Price Close,2663.42
2018-05-07,Price Close,2672.63
2018-05-08,Price Close,2671.92
2018-05-09,Price Close,2697.79
2018-05-10,Price Close,2723.07
2018-05-11,Price Close,2727.72
2018-05-14,Price Close,2730.13
2018-05-15,Price Close,2711.45
2018-05-16,Price Close,2722.46
2018-05-17,Price Close,2720.13
2018-05-18,Price Close,2712.97
2018-05-21,Price Close,2733.01
2018-05-22,Price Close,2724.44
2018-05-23,Price Close,2733.29
2018-05-24,Price Close,2727.76
2018-05-25,Price Close,2721.33
2018-05-29,Price Close,2689.86
2018-05-30,Price Close,2724.01
2018-05-31,Price Close,2705.27
2018-06-01,Price Close,2734.62
2018-06-04,Price Close,2746.87
2018-06-05,Price Close,2748.8
2018-06-06,Price Close,2772.35
2018-06-07,Price Close,2770.37
2018-06-08,Price Close,2779.03
2018-06-11,Price Close,2782.0
2018-06-12,Price Close,2786.85
2018-06-13,Price Close,2775.63
2018-06-14,Price Close,2782.49
2018-06-15,Price Close,2779.66
2018-06-18,Price Close,2773.75
2018-06-19,Price Close,2762.59
2018-06-20,Price Close,2767.32
2018-06-21,Price Close,2749.76
2018-06-22,Price Close,2754.88
2018-06-25,Price Close,2717.07
2018-06-26,Price Close,2723.06
2018-06-27,Price Close,2699.63
2018-06-28,Price Close,2716.31
2018-06-29,Price Close,2718.37
2018-07-02,Price Close,2726.71
2018-07-03,Price Close,2713.22
2018-07-05,Price Close,2736.61
2018-07-06,Price Close,2759.82
2018-07-09,Price Close,2784.17
2018-07-10,Price Close,2793.84
2018-07-11,Price Close,2774.02
2018-07-12,Price Close,2798.29
2018-07-13,Price Close,2801.31
2018-07-16,Price Close,2798.43
2018-07-17,Price Close,2809.55
2018-07-18,Price Close,2815.62
2018-07-19,Price Close,2804.49
2018-07-20,Price Close,2801.83
2018-07-23,Price Close,2806.98
2018-07-24,Price Close,2820.4
2018-07-25,Price Close,2846.07
2018-07-26,Price Close,2837.44
2018-07-27,Price Close,2818.82
2018-07-30,Price Close,2802.6
2018-07-31,Price Close,2816.29
2018-08-01,Price Close,2813.36
2018-08-02,Price Close,2827.22
2018-08-03,Price Close,2840.35
2018-08-06,Price Close,2850.4
2018-08-07,Price Close,2858.45
2018-08-08,Price Close,2857.7
2018-08-09,Price Close,2853.58
2018-08-10,Price Close,2833.28
2018-08-13,Price Close,2821.93
2018-08-14,Price Close,2839.96
2018-08-15,Price Close,2818.37
2018-08-16,Price Close,2840.69
2018-08-17,Price Close,2850.13
2018-08-20,Price Close,2857.05
2018-08-21,Price Close,2862.96
2018-08-22,Price Close,2861.82
2018-08-23,Price Close,2856.98
2018-08-24,Price Close,2874.69
2018-08-27,Price Close,2896.74
2018-08-28,Price Close,2897.52
2018-08-29,Price Close,2914.04
2018-08-30,Price Close,2901.13
2018-08-31,Price Close,2901.52
2018-09-04,Price Close,2896.72
2018-09-05,Price Close,2888.6
2018-09-06,Price Close,2878.05
2018-09-07,Price Close,2871.68
2018-09-10,Price Close,2877.13
2018-09-11,Price Close,2887.89
2018-09-12,Price Close,2888.92
2018-09-13,Price Close,2904.18
2018-09-14,Price Close,2904.98
2018-09-17,Price Close,2888.8
2018-09-18,Price Close,2904.31
2018-09-19,Price Close,2907.95
2018-09-20,Price Close,2930.75
2018-09-21,Price Close,2929.67
2018-09-24,Price Close,2919.37
2018-09-25,Price Close,2915.56
2018-09-26,Price Close,2905.97
2018-09-27,Price Close,2914.0
2018-09-28,Price Close,2913.98
2018-10-01,Price Close,2924.59
2018-10-02,Price Close,2923.43
2018-10-03,Price Close,2925.51
2018-10-04,Price Close,2901.61
2018-10-05,Price Close,2885.57
2018-10-08,Price Close,2884.43
2018-10-09,Price Close,2880.34
2018-10-10,Price Close,2785.68
2018-10-11,Price Close,2728.37
2018-10-12,Price Close,2767.13
2018-10-15,Price Close,2750.79
2018-10-16,Price Close,2809.92
2018-10-17,Price Close,2809.21
2018-10-18,Price Close,2768.78
2018-10-19,Price Close,2767.78
