Date,RIC,Currency,Price to Earning
2026-03-30,ARGX.BR,EUR,35.9166817011055
2026-03-30,BARC.L,GBp,9.11674838342927
2026-03-30,BC8G.DE,EUR,15.2490476216653
2026-03-30,BCP.LS,EUR,9.60028382213813
2026-03-30,BMEB.L,GBp,6.52182691919396
2026-03-30,BTRW.L,GBp,17.5646109667715
2026-03-30,CAST.ST,SEK,17.4702495263747
2026-03-30,CRDA.L,GBp,64.6324424212377
2026-03-30,CTEC.L,GBp,33.5304489761508
2026-03-30,DLG.MI,EUR,13.3356176752499
2026-03-30,ERST.VI,EUR,11.1057542258336
2026-03-30,ESSITYb.ST,SEK,13.2767858746756
2026-03-30,EZJ.L,GBp,5.59633764356277
2026-03-30,FRAG.DE,EUR,15.9426279532407
2026-03-30,GBFG.DE,EUR,20.6993530654402
2026-03-30,GRLS.MC,EUR,14.9919279462996
2026-03-30,INCH.L,GBp,10.6743995215644
2026-03-30,JMAT.L,GBp,
2026-03-30,KSP.I,EUR,19.7845740193437
2026-03-30,LEGD.PA,EUR,27.9656523594605
2026-03-30,LIFCOb.ST,SEK,35.9721413763876
2026-03-30,METSO.HE,EUR,24.6749030262641
2026-03-30,MICCT.AS,EUR,27.3434387906996
2026-03-30,MKS.L,GBp,356.68449197861
2026-03-30,NEKG.DE,EUR,33.3271321125787
2026-03-30,PERP.PA,EUR,11.7771052645658
2026-03-30,QQ.L,GBp,
2026-03-30,RENA.PA,EUR,
2026-03-30,REY.MI,EUR,12.4500453808906
2026-03-30,SABE.MC,EUR,12.6982798309128
2026-03-30,SAND.ST,SEK,29.5346141063878
2026-03-30,SAVE.ST,SEK,25.317055504598
2026-03-30,SIKA.S,CHF,19.9984007430394
2026-03-30,SKAb.ST,SEK,17.938717853745
2026-03-30,SOPR.PA,EUR,7.66098965997347
2026-03-30,SPX.L,GBp,30.0028639097368
2026-03-30,SUN.S,CHF,18.9021120598512
2026-03-30,UNPI.MI,EUR,9.51643726263335
2026-03-30,VACN.S,CHF,65.9029317565903
2026-03-30,VNAn.DE,EUR,5.02102336109391
2026-03-30,WIHL.ST,SEK,11.6353449797071
2026-03-30,ZALG.DE,EUR,25.1185187023753
2026-03-31,ABNd.AS,EUR,11.0600243965127
2026-03-31,ACLN.S,CHF,36.0016668453419
2026-03-31,AIRP.PA,EUR,29.1712779649623
2026-03-31,AKZO.AS,EUR,13.520420781876
2026-03-31,ALEP.WA,PLN,16.2992734580306
2026-03-31,AMBUb.CO,DKK,33.4597040479394
2026-03-31,ANA.MC,EUR,15.1155170144547
2026-03-31,ANDR.VI,EUR,12.8027197710572
2026-03-31,ARGX.BR,EUR,36.6497610189297
2026-03-31,BARC.L,GBp,9.22451976598214
2026-03-31,BC8G.DE,EUR,16.0296405424571
