Date,RIC,Earnings Per Share - Mean
2018-01-11,HOCM.L,0.065
2018-01-17,HOCM.L,0.07214
2018-01-18,HOCM.L,0.07071
2018-01-22,HOCM.L,0.06786
2018-01-24,BFT.WA,35.605
2018-01-27,HOCM.L,0.06671
2018-01-28,PIRC.MI,0.392
2018-01-31,PIRC.MI,0.39311
2018-02-05,HOCM.L,0.10186
2018-02-08,VATN.S,7.1875
2018-02-09,VATN.S,7.0675
2018-02-14,VATN.S,7.605
2018-02-19,VATN.S,7.7325
2018-02-22,HOCM.L,0.09486
2018-02-26,PIRC.MI,0.51182
2018-02-27,PIRC.MI,0.51091
2018-02-28,PIRC.MI,0.51417
2018-03-05,PIRC.MI,0.51917
2018-03-12,BFT.WA,45.1
2018-03-19,PIRC.MI,0.51285
2018-03-23,PIRC.MI,0.51554
2018-03-26,PIRC.MI,0.52146
2018-03-28,HOCM.L,0.08771
2018-04-04,PIRC.MI,0.52223
2018-04-04,HOCM.L,0.08914
2018-04-08,HOCM.L,0.089
2018-04-11,BFT.WA,45.1
2018-04-13,HOCM.L,0.099
2018-04-16,HOCM.L,0.08914
2018-04-18,PIRC.MI,0.51923
2018-04-18,HOCM.L,0.09271
2018-04-19,HOCM.L,0.094
2018-04-24,PIRC.MI,0.52077
2018-04-27,PIRC.MI,0.52057
2018-05-03,VATN.S,7.6575
2018-05-07,BFT.WA,41.33
2018-05-08,PIRC.MI,0.512
2018-05-09,VATN.S,7.6975
2018-05-15,PIRC.MI,0.52086
2018-05-16,PIRC.MI,0.52014
2018-05-17,PIRC.MI,0.52371
2018-05-18,PIRC.MI,0.52621
2018-05-22,PIRC.MI,0.52464
2018-05-22,BFT.WA,40.02
2018-06-04,BFT.WA,39.4075
2018-06-08,HOCM.L,0.08543
2018-06-21,BFT.WA,39.4075
2018-06-27,HOCM.L,0.08257
2018-06-28,HOCM.L,0.07543
2018-07-05,HOCM.L,0.07514
2018-07-06,HOCM.L,0.068
2018-07-09,PIRC.MI,0.52379
2018-07-10,PIRC.MI,0.52087
2018-07-12,VATN.S,7.5864
2018-07-17,HOCM.L,0.06229
2018-07-18,HOCM.L,0.05514
2018-07-19,HOCM.L,0.05943
2018-07-23,PIRC.MI,0.5202
2018-07-30,BFT.WA,39.1905
2018-08-01,PIRC.MI,0.5188
2018-08-03,BFT.WA,38.4555
2018-08-07,PIRC.MI,0.51825
2018-08-08,PIRC.MI,0.5165
2018-08-10,PIRC.MI,0.51638
2018-08-13,PIRC.MI,0.51444
2018-08-13,VATN.S,7.7182
2018-08-15,HOCM.L,0.06229
2018-08-16,PIRC.MI,0.51256
2018-08-16,HOCM.L,0.06671
2018-08-27,PIRC.MI,0.51007
2018-08-31,PIRC.MI,0.50819
2018-09-06,HOCM.L,0.07671
2018-09-07,HOCM.L,0.07386
2018-09-17,HOCM.L,0.07243
2018-09-18,HOCM.L,0.081
2018-09-18,VATN.S,7.7062
2018-09-25,HOCM.L,0.071
2018-09-27,HOCM.L,0.06643
2018-10-04,PIRC.MI,0.50669
2018-10-10,PIRC.MI,0.50606
2018-10-11,PIRC.MI,0.50544
2018-10-11,HOCM.L,0.065
2018-10-12,PIRC.MI,0.50419
2018-10-16,PIRC.MI,0.50231
2018-10-17,HOCM.L,0.065
2018-10-18,HOCM.L,0.06371
2018-10-19,PIRC.MI,0.50335
2018-10-22,PIRC.MI,0.50218
2018-10-22,BFT.WA,36.247
2018-10-23,HOCM.L,0.06433
2018-10-24,PIRC.MI,0.49928
2018-10-25,PIRC.MI,0.50261
2018-10-25,BFT.WA,36.06267
2018-10-26,PIRC.MI,0.50428
2018-11-08,HOCM.L,0.06383
2018-11-08,VATN.S,7.6662
2018-11-09,HOCM.L,0.06217
2018-11-13,PIRC.MI,0.501
2018-11-13,VATN.S,7.6314
2018-11-15,PIRC.MI,0.516
2018-11-16,PIRC.MI,0.52511
2018-11-19,HOCM.L,0.0605
2018-11-21,PIRC.MI,0.52011
2018-11-27,PIRC.MI,0.52178
2018-11-29,PIRC.MI,0.52756
2018-12-04,PIRC.MI,0.53367
2018-12-11,PIRC.MI,0.52922
2018-12-11,HOCM.L,0.05867
2018-12-12,HOCM.L,0.057
2018-12-13,HOCM.L,0.05367
2018-12-17,PIRC.MI,0.52978
2018-12-18,BFT.WA,35.017
2018-12-30,PIRC.MI,0.53271
2019-01-07,PIRC.MI,0.52859
2019-01-10,HOCM.L,0.05033
2019-01-11,PIRC.MI,0.52818
2019-01-14,HOCM.L,0.04533
2019-01-17,HOCM.L,0.041
2019-01-22,HOCM.L,0.03933
2019-01-28,PIRC.MI,0.52582
2019-01-28,HOCM.L,0.03433
2019-01-30,PIRC.MI,0.52818
2019-01-31,HOCM.L,0.02657
2019-02-01,PIRC.MI,0.53135
2019-02-06,HOCM.L,0.02371
2019-02-07,PIRC.MI,0.53765
2019-02-11,VATN.S,7.5374
2019-02-12,VATN.S,7.7702
2019-02-12,VATN.S,7.521
2019-02-14,PIRC.MI,0.60012
2019-02-14,VATN.S,7.884
2019-02-15,PIRC.MI,0.59594
2019-02-18,PIRC.MI,0.59535
2019-02-20,HOCM.L,0.09233
